fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230723 225142	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	377	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.167291425225934	0.331780362308128	561	14869	32103	147332139.430285	1
20230723 230004	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1022	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0873532034065496	0.300465429983436	765	9809	32477	149747410.794603	2
20230723 230351	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.178360594853643	0.812932661448284	215	35640	30285	150331086.956522	3
20230723 230604	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	147	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.29122646151695	0.731457760150245	34	27967	38730	148269730.134933	4
20230723 232107	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2058	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0453283604533176	0.434775855817047	689	21302	29500	151939400.29985	5
20230723 232726	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1299	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.153764261342694	0.623420111745394	866	44364	33765	149101581.709145	6
20230723 233757	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1470	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0906159143715888	0.491347804057666	147	48841	28063	151885002.998501	7
20230723 234055	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.207235895423234	0.123292973226766	267	3283	34462	144809682.158921	8
20230723 234641	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	482	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.13692733044291	0.563720317992138	512	22156	30716	151038566.716642	9
20230723 235139	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	265	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.264142636848653	0.884034660254217	436	2895	28076	137254878.56072	10
20230723 235433	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.274407536356423	0.965472127351404	639	42765	33885	147831296.851574	11
20230724 000651	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3982	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0654707712931373	0.0421758264696277	959	16353	27975	149206154.422789	12
20230724 001035	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.241970809026954	0.173149274214095	771	33546	25278	146305970.014993	13
20230724 003208	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5103	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0207284136067634	0.849418129732273	387	39660	32655	153759137.931034	14
20230724 003852	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	873	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.110624873833725	0.687674384242278	1012	8325	35631	143730268.365817	15
20230724 004508	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1080	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.212779021315052	0.234984172409565	119	29505	31399	146361320.83958	16
20230724 010520	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7190	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200356023533558	0.716841177656003	9	41144	28707	154250514.242879	17
20230724 013214	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5333	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200428646881246	0.604236721869164	299	34080	28721	154267224.887556	18
20230724 014259	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2489	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0202516796241894	0.680666491949402	460	49974	33198	152845880.05997	19
20230724 020813	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9852	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0201923830758797	0.999709828351237	9	43620	31349	153130991.004498	20
20230724 022233	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5554	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0422998603057136	0.686930968905193	8	26677	31085	153838373.313343	21
20230724 024726	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5769	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200215921753204	0.711942574464578	155	35004	32236	154437847.076462	22
20230724 025637	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2029	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0619289275819248	0.701794373771193	280	37534	32256	151846992.503748	23
20230724 033944	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9975	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0201195096735469	0.589541124357975	8	31436	30237	153454097.451274	24
20230724 040158	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5205	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200453165019145	0.736593296938254	59	36675	32355	152747653.673163	25
